candidate,accuracy,brier_score,fold,log_loss,markets,rows
full_history_price_control,0.7150963463463463,0.18643632331348217,april,0.5499415559346503,8640,319680
full_history_price_control,0.7259547854305919,0.1776579320900373,may,0.5267825111068722,8928,330336
full_history_price_control,0.7547516266266266,0.16440098200395578,june,0.4946475999738282,8640,319680
full_history_price_control,0.7440121573186089,0.16925215956734815,july,0.5057985563119823,8928,330336
full_history_price_control,0.7260616213327942,0.1773646456596401,august_preseal,0.5262635692925647,3743,138491
full_history_refprice_residual,0.7150963463463463,0.18643632331348217,april,0.5499415559346503,8640,319680
full_history_refprice_residual,0.7266116923374988,0.17772643812840933,may,0.5270352619812706,8928,330336
full_history_refprice_residual,0.7550706956956957,0.16428044343019246,june,0.494189218186986,8640,319680
full_history_refprice_residual,0.7426832074009493,0.17009220857535787,july,0.5081630009702718,8928,330336
full_history_refprice_residual,0.7237726639276199,0.17751494018964414,august_preseal,0.5263293292047977,3743,138491
binance_flow,0.7150963463463463,0.18643632331348217,april,0.5499415559346503,8640,319680
binance_flow,0.7269174416351836,0.17772672441492085,may,0.5271888843605209,8928,330336
binance_flow,0.7545201451451451,0.16435025558866273,june,0.49439806978454903,8640,319680
binance_flow,0.7427831056863315,0.1697020659052481,july,0.5067978576373356,8928,330336
binance_flow,0.7042768122116239,0.18906759280986876,august_preseal,0.5540852612359877,3743,138491
kraken_crossvenue,0.7150963463463463,0.18643632331348217,april,0.5499415559346503,8640,319680
kraken_crossvenue,0.7267539717136491,0.17754570405300202,may,0.5266650245874067,8928,330336
kraken_crossvenue,0.7545295295295296,0.1646366182913873,june,0.4952407874205656,8640,319680
kraken_crossvenue,0.7435641286447738,0.169377059483339,july,0.506034200526501,8928,330336
kraken_crossvenue,0.7255345112678803,0.17716991824864187,august_preseal,0.5260065560764661,3743,138491
settlement_aligned_oracle,0.7155374124124124,0.1861562496414697,april,0.5492883469136993,8640,319680
settlement_aligned_oracle,0.7279769689043882,0.17746427393283853,may,0.5266636801365948,8928,330336
settlement_aligned_oracle,0.7556243743743744,0.16411572760369458,june,0.49419817474578037,8640,319680
settlement_aligned_oracle,0.7423956214278795,0.1699304364258988,july,0.5078773111425943,8928,330336
settlement_aligned_oracle,0.7187687286538476,0.1800345351416954,august_preseal,0.5317612211507837,3743,138491
dual_venue_flow_agreement,0.7150963463463463,0.18643632331348217,april,0.5499415559346503,8640,319680
dual_venue_flow_agreement,0.7262393441828926,0.1776050461953794,may,0.5267801670479062,8928,330336
dual_venue_flow_agreement,0.7543574824824825,0.1645991612102233,june,0.49483563577257456,8640,319680
dual_venue_flow_agreement,0.7428648406470987,0.169662015701723,july,0.5067471180031611,8928,330336
dual_venue_flow_agreement,0.7280978547342427,0.1769874134346665,august_preseal,0.5255152143074759,3743,138491
multivenue_consensus,0.7155374124124124,0.1861562496414697,april,0.5492883469136993,8640,319680
multivenue_consensus,0.7250708369659983,0.1780378559990287,may,0.5276026906148106,8928,330336
multivenue_consensus,0.7546327577577577,0.16408018003474853,june,0.49389909139396093,8640,319680
multivenue_consensus,0.7425106558171074,0.1701172698126543,july,0.508197516800124,8928,330336
multivenue_consensus,0.7076344311182676,0.18633814942556273,august_preseal,0.5477277119724308,3743,138491
time_specialist_ensemble,0.7134884884884884,0.1866302933536339,april,0.5497584985688019,8640,319680
time_specialist_ensemble,0.7255884917175239,0.17835588830600016,may,0.5284335637085027,8928,330336
time_specialist_ensemble,0.7546014764764765,0.16461894170977415,june,0.4956939087213678,8640,319680
time_specialist_ensemble,0.7392230940618038,0.1724041194081558,july,0.5134112751710349,8928,330336
time_specialist_ensemble,0.7136564830927642,0.18357286244367477,august_preseal,0.5407794539951504,3743,138491
