candidate,accuracy,band,brier_score,markets,rows
full_history_price_control,0.6844112009334111,60_120,0.20148855811447886,3692,47996
full_history_price_control,0.762143373058866,125_180,0.16202714565975754,3692,44304
full_history_price_control,0.8332430480317804,185_240,0.11827308323671795,3692,44304
full_history_refprice_residual,0.6906200516709726,60_120,0.20040049516162986,3692,47996
full_history_refprice_residual,0.763926507764536,125_180,0.1615544835647925,3692,44304
full_history_refprice_residual,0.8344393282773565,185_240,0.11799112011116615,3692,44304
binance_flow,0.680785898824902,60_120,0.20434229938158688,3692,47996
binance_flow,0.7565456843625857,125_180,0.16432153174710884,3692,44304
binance_flow,0.8292479234380643,185_240,0.11991374605586427,3692,44304
kraken_crossvenue,0.6845987165597133,60_120,0.20101023159561618,3692,47996
kraken_crossvenue,0.7607890935355724,125_180,0.1617906695316702,3692,44304
kraken_crossvenue,0.8317759118815456,185_240,0.11824994701517946,3692,44304
settlement_aligned_oracle,0.6868697391449288,60_120,0.20074532626771463,3692,47996
settlement_aligned_oracle,0.7632267966775009,125_180,0.16132559306982125,3692,44304
settlement_aligned_oracle,0.8331753340556157,185_240,0.11737959646331465,3692,44304
dual_venue_flow_agreement,0.6857863155262939,60_120,0.201550112564914,3692,47996
dual_venue_flow_agreement,0.7643779342723005,125_180,0.16189546355787715,3692,44304
dual_venue_flow_agreement,0.8336493318887686,185_240,0.11802917896192228,3692,44304
multivenue_consensus,0.6793482790232519,60_120,0.2043309491473411,3692,47996
multivenue_consensus,0.7565456843625857,125_180,0.16475169131703807,3692,44304
multivenue_consensus,0.8296090646442759,185_240,0.12027821000560363,3692,44304
time_specialist_ensemble,0.6847237269772481,60_120,0.20177298113007855,3692,47996
time_specialist_ensemble,0.7592316720837847,125_180,0.16256186826428273,3692,44304
time_specialist_ensemble,0.8359967497291441,185_240,0.11715608200099445,3692,44304
